Peak WSPG,Draft Year,Name,Pick,Draft Age,Year,Position,Height (cm),Weight (lbs),Height/Weight Ratio,Games,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Strength of Schedule,True Shooting Percentage,Effective Field Goal Percentage,3 Point Attempt Rate,Free Throw Attempt Rate,Offensive Win Shares,Defensive Win Shares,Win Shares
0,1996,Chris Robinson,51,22.16666667,1996,Forward,196,200,0.98,26,6.3,13.8,0.455,5.1,9.9,0.518,1.2,3.9,0.297,3.1,4.6,0.675,6.2,2.3,2.6,0.7,16.8,0.85,0.527,0.497,0.282,0.335,1.5,1.4,2.9
0,1996,Jeff Nordgaard,53,23.33333333,1996,Forward,201,225,0.893333333,29,9.6,17.2,0.554,9.3,16.4,0.566,0.3,0.9,0,3.2,4.5,0.71,6.3,2.3,1,0.3,22.6,-0.88,0.583,0.562,0.05,0.262,4.4,2.4,6.8
4.253271028,1996,Shandon Anderson,54,22.5,1996,Forward,198,208,0.951923077,31,5.7,10.5,0.538,5.2,8.9,0.582,0.5,1.7,0.308,3,4.6,0.657,5.5,2.7,1.8,0.5,14.9,8.13,0.585,0.563,0.159,0.437,2.7,2.3,5
5.700952381,1997,Keith Van Horn,2,21.66666667,1997,Forward,208,220,0.945454545,32,7.8,15.8,0.492,5.9,11.1,0.537,1.8,4.7,0.387,4.7,5.2,0.904,9.5,1.4,0.7,1.2,22,5.44,0.604,0.55,0.298,0.331,4.9,3,8
0.88172043,1997,Ron Mercer,6,21.08333333,1997,Forward,201,210,0.957142857,40,7.4,15.1,0.493,6.2,11.6,0.537,1.2,3.5,0.348,2.1,2.6,0.781,5.3,2.4,1.7,0.3,18.1,9.2,0.555,0.533,0.234,0.174,3.4,3.2,6.6
3.429090909,1997,Tim Thomas,7,20.33333333,1997,Forward,208,230,0.904347826,32,5.8,13,0.45,4.4,8.6,0.507,1.5,4.4,0.336,3.8,4.8,0.796,6,2.1,1.8,1,16.9,9.45,0.555,0.506,0.337,0.365,2.6,2,4.6
4.756,1997,Danny Fortson,10,21.25,1997,Forward,201,260,0.773076923,33,7.4,11.9,0.62,7.4,11.8,0.621,0,0,0,6.6,8.5,0.772,9.1,1.1,0.6,0.5,21.3,5.44,0.669,0.62,0.003,0.717,6,2.5,8.5
1.887769784,1997,Tariq Abdul-Wahad,11,22.58333333,1997,Forward,198,223,0.887892377,26,8.7,17.6,0.492,7.7,14.8,0.516,1,2.7,0.366,5.5,7.5,0.73,8.8,1.1,1.5,0.7,23.8,4.15,0.563,0.521,0.155,0.429,3.2,1.6,4.9
6.818478261,1997,Derek Anderson,13,22.91666667,1997,Forward,196,194,1.010309278,19,5.8,11.9,0.491,3.8,6.9,0.553,2,4.9,0.404,4.1,5,0.811,4.1,3.5,1.9,0.1,17.7,9.2,0.621,0.575,0.416,0.42,2.5,1.4,3.9
2.472058824,1997,Maurice Taylor,14,20.66666667,1997,Forward,206,260,0.792307692,35,4.9,9.7,0.507,4.9,9.6,0.512,0,0.1,0,2.4,3.3,0.718,6.2,1.1,0.7,0.9,12.3,10.53,0.543,0.509,0.015,0.343,1.9,2.1,4
